Nombre,Categoria
"Acedía granizada","PESCADOS"
"Adobo de cazón en cubo","PESCADOS"
"Anillas de calamar","PESCADOS"
"Bacalao lomo centro","PESCADOS"
"Bacalao lomo icelandic","PESCADOS"
"Bacalao lomo salado","PESCADOS"
"Barriga atún congelada al vacío","PESCADOS"
"Boquerones griegos","PESCADOS"
"Brochetas sepia","PESCADOS"
"Caballas congeladas","PESCADOS"
"Caella entera limpia taco","PESCADOS"
"Calamar 1x6kg","PESCADOS"
"Calamar limpio 20/40","PESCADOS"
"Calamar patagónico bloque","PESCADOS"
"Calamar troceado","PESCADOS"
"Cariocas","PESCADOS"
"Chanquetes chino","PESCADOS"
"Choco en tiras","PESCADOS"
"Choco fresco","PESCADOS"
"Choco limpio 13/20p","PESCADOS"
"Cocochas bacalao","PESCADOS"
"Delicias del mar","PESCADOS"
"Delicias del mar cortadas","PESCADOS"
"Desmigado bacalao congelado","PESCADOS"
"Filete araña","PESCADOS"
"Filete atún","PESCADOS"
"Filete caballa","PESCADOS"
"Filete caella","PESCADOS"
"Filete corvina","PESCADOS"
"Filete de bacalao","PESCADOS"
"Filete de dorada","PESCADOS"
"Filete de gallineta","PESCADOS"
"Filete de gallo","PESCADOS"
"Filete de lubina","PESCADOS"
"Filete de marrajo","PESCADOS"
"Filete de merluza nacional","PESCADOS"
"Filete de merluza nacional argentino","PESCADOS"
"Filete de palmeta","PESCADOS"
"Filete de panga","PESCADOS"
"Filete de panga","PESCADOS"
"Filete de perca","PESCADOS"
"Filete de pez espada","PESCADOS"
"Filete de rosada sin piel","PESCADOS"
"Filete de salmón","PESCADOS"
"Filete de salmón salar","PESCADOS"
"Filete de salmonete","PESCADOS"
"Filete de sardina","PESCADOS"
"Filete de tilapia","PESCADOS"
"Filete fogonero bloque","PESCADOS"
"Filete fogonero punto sal","PESCADOS"
"Filete gallineta","PESCADOS"
"Filete lenguado","PESCADOS"
"Filete limanda con piel","PESCADOS"
"Filete mahi-mahi con piel","PESCADOS"
"Frutos del mar","PESCADOS"
"Gulas bandeja","PESCADOS"
"Hueva de bacalao","PESCADOS"
"Hueva de merluza","PESCADOS"
"Huevas bacalao cocidas","PESCADOS"
"Huevos de choco","PESCADOS"
"Lenguadina","PESCADOS"
"Lomo de atún congelado","PESCADOS"
"Lomo de corvina extra","PESCADOS"
"Lomo de halibut sin piel","PESCADOS"
"Lomo de merlín sin piel","PESCADOS"
"Lomos de merluza","PESCADOS"
"Manto de pota","PESCADOS"
"Medallón de salmón","PESCADOS"
"Merluza entera envuelta 3L","PESCADOS"
"Patas de pulpo cocidas","PESCADOS"
"Peludas","PESCADOS"
"Pulpo cocido entero","PESCADOS"
"Pulpo cocido troceado","PESCADOS"
"Pulpo t-1","PESCADOS"
"Puntilla de marruecos","PESCADOS"
"Puntillita china","PESCADOS"
"Rape chino","PESCADOS"
"Rape Gran Sol","PESCADOS"
"Raya limpia","PESCADOS"
"Recortes de atún","PESCADOS"
"Rejos de calamar","PESCADOS"
"Rodaja rosada","PESCADOS"
"Rodajas de merluza nº3","PESCADOS"
